A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
1  	N      	0 	1  	0.0000	1/2+       	8071.31806  	0.00044 	613.9 S 6        	613.9                        	        	       	B-      	100          
4  	N      	0 	4  	0.0000	0+         	            	        	2.6 MEV          	1.7547604425822527e-22       	        	       	        	             
6  	N      	0 	6  	0.0000	           	            	        	                 	                             	        	       	        	             
1  	H      	1 	0  	0.0000	1/2+       	7288.971064 	0.000013	STABLE           	infinity                     	99.9855 	0.0078 	        	             
2  	H      	1 	1  	0.0000	1+         	13135.722895	0.000015	STABLE           	infinity                     	0.0145  	0.0078 	        	             
3  	H      	1 	2  	0.0000	1/2+       	14949.81090 	0.00008 	12.32 Y 2        	388781328.00697345           	        	       	B-      	100          
4  	H      	1 	3  	0.0000	2-         	24621.129   	100.000 	                 	                             	        	       	N       	100          
5  	H      	1 	4  	0.0000	(1/2+)     	32892.447   	89.443  	5.3 MEV 4        	8.608258774931805e-23        	        	       	2N      	100          
6  	H      	1 	5  	0.0000	           	41875.725   	254.127 	1.55 MEV 44      	2.943469129492811e-22        	        	       	        	             
7  	H      	1 	6  	0.0000	(1/2+)     	49135       	1004    	0.09 MEV +94-6   	5.069307945237619e-21        	        	       	        	             
3  	HE     	2 	1  	0.0000	1/2+       	14931.21888 	0.00006 	STABLE           	infinity                     	0.0002  	0.0002 	        	             
4  	HE     	2 	2  	0.0000	0+         	2424.91587  	0.00015 	STABLE           	infinity                     	99.9998 	0.0002 	        	             
5  	HE     	2 	3  	0.0000	3/2-       	11231.234   	20.000  	0.648 MEV        	7.040705479496693e-22        	        	       	N       	             
6  	HE     	2 	4  	0.0000	0+         	17592.095   	0.053   	806.7 MS 15      	0.8067                       	        	       	B-      	100          
7  	HE     	2 	5  	0.0000	(3/2)-     	26073.128   	7.559   	150 KEV 20       	3.0415847671425716e-21       	        	       	N       	             
8  	HE     	2 	6  	0.0000	0+         	31609.683   	0.089   	119.1 MS 12      	0.1191                       	        	       	B-      	100          
8  	HE     	2 	6  	0.0000	0+         	31609.683   	0.089   	119.1 MS 12      	0.1191                       	        	       	B-N     	16           
9  	HE     	2 	7  	0.0000	1/2+       	40935.826   	46.816  	                 	                             	        	       	N       	100          
10 	HE     	2 	8  	0.0000	(0+)       	49197.147   	92.848  	300 KEV 200      	1.5207923835712858e-21       	        	       	N       	100          
4  	LI     	3 	1  	0.0000	2-         	25323.190   	212.132 	                 	                             	        	       	P       	100          
5  	LI     	3 	2  	0.0000	3/2-       	11678.887   	50.000  	1.23 MEV         	3.709249716027526e-22        	        	       	P       	             
6  	LI     	3 	3  	0.0000	1+         	14086.88044 	0.00144 	STABLE           	infinity                     	4.85    	1.71   	        	             
7  	LI     	3 	4  	0.0000	3/2-       	14907.10463 	0.00419 	STABLE           	infinity                     	95.15   	1.71   	        	             
8  	LI     	3 	5  	0.0000	2+         	20945.805   	0.047   	839.9 MS 9       	0.8399                       	        	       	BA      	100          
8  	LI     	3 	5  	0.0000	2+         	20945.805   	0.047   	839.9 MS 9       	0.8399                       	        	       	B-      	100          
9  	LI     	3 	6  	0.0000	3/2-       	24954.905   	0.186   	178.3 MS 4       	0.1783                       	        	       	B-      	100          
9  	LI     	3 	6  	0.0000	3/2-       	24954.905   	0.186   	178.3 MS 4       	0.1783                       	        	       	B-N     	50.8         
10 	LI     	3 	7  	0.0000	(1- 2-)    	33052.628   	12.721  	                 	                             	        	       	N       	100          
11 	LI     	3 	8  	0.0000	3/2-       	40728.259   	0.615   	8.75 MS 14       	0.00875                      	        	       	B-      	100          
