A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
8  	HE     	2 	6  	0.         	    	0+        	B-      	119.1 MS 12   	0.119             	8LI     	G        	           	980.     	   	       	   	84.0      	10  	0.823      	10 
7  	BE     	4 	3  	0.0        	    	3/2-      	EC      	53.22 D 6     	4598208           	7LI     	G        	           	477.6035 	20 	       	   	10.44     	4   	0.04986    	19 
12 	B      	5 	7  	0.0        	    	1+        	B-      	20.20 MS 2    	0.0202            	12C     	G        	           	3216.9   	8  	       	   	2.30E-4   	10  	7.4E-6     	3  
12 	B      	5 	7  	0.0        	    	1+        	B-      	20.20 MS 2    	0.0202            	12C     	G        	           	4438.91  	31 	       	   	1.182     	19  	0.0525     	8  
13 	B      	5 	8  	0          	    	3/2-      	B-      	17.30 MS 17   	0.0173            	13C     	G        	           	169.300  	4  	       	   	0.005     	5   	8.E-6      	8  
13 	B      	5 	8  	0          	    	3/2-      	B-      	17.30 MS 17   	0.0173            	13C     	G        	           	595.22   	8  	       	   	0.057     	7   	3.4E-4     	4  
13 	B      	5 	8  	0          	    	3/2-      	B-      	17.30 MS 17   	0.0173            	13C     	G        	           	764.316  	10 	       	   	0.15      	15  	0.0011     	11 
13 	B      	5 	8  	0          	    	3/2-      	B-      	17.30 MS 17   	0.0173            	13C     	G        	           	3089.049 	20 	       	   	0.4       	4   	0.011      	11 
13 	B      	5 	8  	0          	    	3/2-      	B-      	17.30 MS 17   	0.0173            	13C     	G        	           	3684.01  	6  	       	   	7.6       	8   	0.28       	3  
13 	B      	5 	8  	0          	    	3/2-      	B-      	17.30 MS 17   	0.0173            	13C     	G        	           	3854     	1  	       	   	0.25      	25  	0.010      	10 
13 	B      	5 	8  	0          	    	3/2-      	B-N     	17.30 MS 17   	0.0173            	12C     	G        	           	4439     	   	       	   	1.00E-3   	    	4.4E-5     	   
10 	C      	6 	4  	0.0        	    	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	XR ka1     	0.183    	   	       	   	3.4E-5    	16  	6.E-11     	3  
10 	C      	6 	4  	0.0        	    	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	XR ka2     	0.183    	   	       	   	1.8E-5    	7   	3.2E-11    	13 
10 	C      	6 	4  	0.0        	    	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	Annihil.   	511.0    	   	       	   	199.92    	4   	           	   
10 	C      	6 	4  	0.0        	    	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	           	718.353  	19 	       	   	100       	    	0.718353   	   
10 	C      	6 	4  	0.0        	    	0+        	B+      	19.290 S 12   	19.29             	10B     	G        	           	1021.646 	14 	       	   	1.4615    	19  	0.014931   	19 
